Player;_x;Apps_x;Mins_x;Goals_x;Assists_x;Yel;Red;SpG_x;PS%_x;AerialsWon;MotM;Rating_x;_y;Apps_y;Mins_y;Tackles;Inter;Fouls;Offsides;Clear;Drb_x;Blocks;OwnG;Rating_y;_x;Apps_x;Mins_x;Goals_y;Assists_y;SpG_y;KeyP_x;Drb_y;Fouled;Off;Disp;UnsTch;Rating_x;_y;Apps_y;Mins_y;Assists;KeyP_y;AvgP;PS%_y;Crosses;LongB;ThrB;Rating_y
"28
João Félix
Barcelona, 24, AM(CL),FW";;15(4);1138;5;2;3;-;2.3;83.9;0.4;2;6.98;;15(4);1138;0.9;0.4;0.8;-;0.3;0.5;0.1;-;6.98;;15(4);1138;5;2;2.3;0.7;1.2;2.3;0.4;1.2;1.8;6.98;;15(4);1138;2;0.7;22.9;83.9;0.1;0.4;0.2;6.98
"29
Vedat Muriqi
Mallorca, 29, FW";;15(3);1417;5;2;2;-;2;61.5;5.9;3;6.98;;15(3);1417;0.5;0.1;1.3;-;1.1;0.4;0.2;-;6.98;;15(3);1417;5;2;2;1.4;0.3;1.3;1.1;0.8;2.8;6.98;;15(3);1417;2;1.4;21.5;61.5;0.1;0.5;0.2;6.98
"30
Ayoze Pérez
Real Betis, 30, AM(CLR),FW";;19;1471;4;1;3;-;2.3;78.4;0.5;3;6.98;;19;1471;1.9;0.9;1.5;-;0.4;0.8;0.1;-;6.98;;19;1471;4;1;2.3;1.2;1.6;1.8;0.2;1.5;2;6.98;;19;1471;1;1.2;21.9;78.4;-;0.2;0.1;6.98
"31
Sergi Cardona
Las Palmas, 24, D(L)";;22(3);2078;-;2;8;-;0.8;82.7;1.7;2;6.97;;22(3);2078;2.8;1.5;1.6;0.5;2.8;1.2;0.2;-;6.97;;22(3);2078;-;2;0.8;1.1;0.4;1.8;0.1;0.4;1.3;6.97;;22(3);2078;2;1.1;52.3;82.7;0.4;1;0.1;6.97
"32
Dani Carvajal
Real Madrid, 32, D(R)";;18(2);1559;3;2;2;1;0.7;88.2;0.6;1;6.97;;18(2);1559;1.9;1;0.9;0.2;1.3;0.8;0.4;-;6.97;;18(2);1559;3;2;0.7;0.9;0.4;0.7;0.1;0.8;0.8;6.97;;18(2);1559;2;0.9;44.5;88.2;0.3;1.5;0.2;6.97
"33
Borja Mayoral
Getafe, 26, AM(R),FW";;24(2);2087;15;1;2;-;1.8;77.6;1.9;4;6.96;;24(2);2087;0.3;0.2;1;-;0.6;0.6;-;-;6.96;;24(2);2087;15;1;1.8;0.7;0.7;1.2;0.5;1;2.5;6.96;;24(2);2087;1;0.7;19.9;77.6;0.3;1.1;-;6.96
"34
Iago Aspas
Celta Vigo, 36, AM(CR),FW";;21(3);1799;5;5;5;1;2.4;78;0.3;2;6.95;;21(3);1799;0.2;0.3;0.5;-;0.2;0.3;0.1;-;6.95;;21(3);1799;5;5;2.4;2.7;0.9;1.6;0.3;0.9;1.4;6.95;;21(3);1799;5;2.7;29.5;78;1.5;1.2;0.2;6.95
"35
Andriy Lunin
Real Madrid, 25, GK";;14;1260;-;-;1;-;-;86.7;0.2;-;6.95;;14;1260;-;-;-;-;1.1;-;-;-;6.95;;14;1260;-;-;-;-;-;0.1;-;-;-;6.95;;14;1260;-;-;25.2;86.7;-;2.9;-;6.95
"36
Ivan Rakitic
Sevilla, 35, M(CL)";;16(2);1426;2;1;6;-;1.8;81.3;0.7;1;6.95;;16(2);1426;1.7;0.8;0.9;-;0.6;0.4;0.3;-;6.95;;16(2);1426;2;1;1.8;2.7;0.4;1.1;0.1;0.3;1.7;6.95;;16(2);1426;1;2.7;51.9;81.3;2.3;5;-;6.95
"37
Álvaro Vallés
Las Palmas, 26, GK";;26;2340;-;-;1;-;-;78;0.3;2;6.95;;26;2340;0.1;-;-;-;2;0.2;-;-;6.95;;26;2340;-;-;-;-;-;0.2;-;-;-;6.95;;26;2340;-;-;48.1;78;-;6.7;-;6.95
"38
Eduardo Camavinga
Real Madrid, 21, D(L),DMC";;13(6);1136;-;1;5;-;0.4;90.9;0.5;-;6.93;;13(6);1136;2.5;1;1.6;-;0.6;0.5;0.2;-;6.93;;13(6);1136;-;1;0.4;0.8;1.1;2.2;-;0.9;0.9;6.93;;13(6);1136;1;0.8;41;90.9;0.2;1.4;0.1;6.93
"39
Loïc Badé
Sevilla, 23, D(C)";;17(1);1448;-;1;2;1;0.7;81.6;2.9;1;6.93;;17(1);1448;2.2;1.2;0.8;0.4;4.4;0.7;0.7;-;6.93;;17(1);1448;-;1;0.7;0.3;0.3;0.3;0.1;0.1;0.4;6.93;;17(1);1448;1;0.3;45.2;81.6;-;2.8;0.1;6.93
"40
Alexander Sørloth
Villarreal, 28, AM(R),FW";;18(4);1492;9;4;3;-;2;74.5;2.2;2;6.93;;18(4);1492;0.2;-;0.9;-;0.9;0.1;0.1;-;6.93;;18(4);1492;9;4;2;1;1;0.5;0.7;1.7;3;6.93;;18(4);1492;4;1;12.8;74.5;-;0.1;-;6.93
"41
Paulo Gazzaniga
Girona, 32, GK";;26;2340;-;-;2;-;-;74.7;0.2;3;6.93;;26;2340;0.1;-;-;-;0.4;-;-;-;6.93;;26;2340;-;-;-;0.1;0.1;0.2;-;-;0.1;6.93;;26;2340;-;0.1;32.5;74.7;-;5.2;-;6.93
"42
Martín Zubimendi
Real Sociedad, 25, DMC";;23(2);2147;4;1;3;-;0.8;85.8;1.4;3;6.92;;23(2);2147;1.6;1.3;1.2;0.1;1.8;0.6;0.2;-;6.92;;23(2);2147;4;1;0.8;0.5;0.4;0.8;-;0.6;0.7;6.92;;23(2);2147;1;0.5;48.6;85.8;-;1.5;0.1;6.92
"43
Álvaro Morata
Atletico, 31, AM(L),FW";;18(5);1500;13;1;1;1;2.3;72.6;1.3;2;6.92;;18(5);1500;0.4;-;1;-;1;-;0.1;-;6.92;;18(5);1500;13;1;2.3;0.3;0.6;1.1;1.1;1.1;1.4;6.92;;18(5);1500;1;0.3;12;72.6;0.1;0.4;-;6.92
